S_No,Hotel_Name,Room_Type,Single_Bed,Double_Bed,Prices_in_INR
1,Five Jumeirah Village,King | Queen | Deluxe | Suite,Yes,Yes,11180
75,Hyatt Regency Sydney,King | Queen | Deluxe | Suite,Yes,Yes,14577
76,Travelodge Hotel Sydney Airport,King | Queen | Deluxe | Suite,Yes,Yes,9491
77,Rydges Sydney Airport Hotel,King | Queen | Deluxe | Suite,Yes,Yes,13195
78,Citadines Connect Sydney Airport,King | Queen | Deluxe | Suite,Yes,Yes,11817
79,Great Southern Hotel Sydney,King | Queen | Deluxe | Suite,Yes,Yes,7366
80,Four Seasons Hotel Sydney,King | Queen | Deluxe | Suite,Yes,Yes,19819
81,The Victoria Hotel,King | Queen | Deluxe | Suite,Yes,Yes,6465
82,Crown Promenade Melbourne,King | Queen | Deluxe | Suite,Yes,Yes,11076
83,Crown Metropol Melbourne,King | Queen | Deluxe | Suite,Yes,Yes,11606
84,Atlantis Hotel Melbourne,King | Queen | Deluxe | Suite,Yes,Yes,7400
85,Great Southern Hotel Melbourne,King | Queen | Deluxe | Suite,Yes,Yes,5193
86,Hotel Grand Chancellor Melbourne,King | Queen | Deluxe | Suite,Yes,Yes,8426
87,YEHS Hotel Melbourne CBD,King | Queen | Deluxe | Suite,Yes,Yes,12334
88,Travelodge Hotel Melbourne Docklands,King | Queen | Deluxe | Suite,Yes,Yes,8063
89,Causeway 353 Hotel,King | Queen | Deluxe | Suite,Yes,Yes,10016
90,ibis Styles Kingsgate Hotel,King | Queen | Deluxe | Suite,Yes,Yes,5140
91,HotelF1 Paris Saint Ouen Marché Aux Puces,King | Queen | Deluxe | Suite,Yes,Yes,3606
92,hotelF1 Paris Porte de Châtillon,King | Queen | Deluxe | Suite,Yes,Yes,3958
93,B&B HOTEL Paris 17 Batignolles,King | Queen | Deluxe | Suite,Yes,Yes,8718
94,Pullman Paris Tour Eiffel,King | Queen | Deluxe | Suite,Yes,Yes,31615
95,Ibis Paris Tour Eiffel Cambronne 15ème,King | Queen | Deluxe | Suite,Yes,Yes,8322
96,citizenM Paris Gare de Lyon,King | Queen | Deluxe | Suite,Yes,Yes,11360
97,ibis Budget Paris La Villette 19ème,King | Queen | Deluxe | Suite,Yes,Yes,6587
98,"Holiday Inn Paris Gare de l'Est, an IHG Hotel",King | Queen | Deluxe | Suite,Yes,Yes,8639
99,B&B HOTEL Paris Porte des Lilas,King | Queen | Deluxe | Suite,Yes,Yes,6076
100,MEININGER Hotel Paris Porte de Vincennes,King | Queen | Deluxe | Suite,Yes,Yes,5460
101,Hotel Sunroute Plaza Shinjuku,King | Queen | Deluxe | Suite,Yes,Yes,16585
102,The Royal Park Hotel Tokyo Haneda Airport Terminal 3,King | Queen | Deluxe | Suite,Yes,Yes,11401
103,Shinagawa Prince Hotel,King | Queen | Deluxe | Suite,Yes,Yes,15195
104,Shinjuku Prince Hotel,King | Queen | Deluxe | Suite,Yes,Yes,18745
105,JR Kyushu Hotel Blossom Shinjuku,King | Queen | Deluxe | Suite,Yes,Yes,16907
106,the square hotel GINZA,King | Queen | Deluxe | Suite,Yes,Yes,13765
107,Mitsui Garden Hotel Roppongi Tokyo Premier,King | Queen | Deluxe | Suite,Yes,Yes,23292
108,Mitsui Garden Hotel Jingugaien Tokyo Premier,King | Queen | Deluxe | Suite,Yes,Yes,19688
109,Ours Inn Hankyu,King | Queen | Deluxe | Suite,Yes,Yes,4338
110,karaksa hotel TOKYO STATION,King | Queen | Deluxe | Suite,Yes,Yes,12236
111,One King West Hotel and Residence,King | Queen | Deluxe | Suite,Yes,Yes,16427
112,Chelsea Hotel Toronto,King | Queen | Deluxe | Suite,Yes,Yes,12194
113,DoubleTree by Hilton Toronto Downtown,King | Queen | Deluxe | Suite,Yes,Yes,11882
114,Town Inn Suites Hotel,King | Queen | Deluxe | Suite,Yes,Yes,16526
115,"Holiday Inn Toronto Downtown Centre, an IHG Hotel",King | Queen | Deluxe | Suite,Yes,Yes,12892
116,Woodbine Hotel & Suites,King | Queen | Deluxe | Suite,Yes,Yes,7936
117,Pan Pacific Toronto,King | Queen | Deluxe | Suite,Yes,Yes,15017
118,"Doubletree by Hilton Toronto Airport, ON",King | Queen | Deluxe | Suite,Yes,Yes,14288
119,"Holiday Inn Toronto International Airport, an IHG Hotel",King | Queen | Deluxe | Suite,Yes,Yes,12087
120,Best Western Plus Toronto North York Hotel & Suites,King | Queen | Deluxe | Suite,Yes,Yes,10014
